Age,AnnualIncome,CallDropRate,CallFailureRate,CallingNumber,CustomerID,CustomerSuspended,Education,Gender,HomeOwner,MaritalStatus,MonthlyBilledAmount,NoAdditionalLines,NumberOfComplaints,NumberOfMonthUnpaid,NumDaysContractEquipmentPlanExpiring,Occupation,PenaltyToSwitch,State,TotalMinsUsedInLastMonth,UnpaidBalance,UsesInternetService,UsesVoiceService,PercentageCallOutsideNetwork,Churn
75,227270,0.07,0.03,4251016886,24,Yes,High School or below,Male,Yes,Single,8,Yes,2,6,63,Non-technology Related Job,401,AR,416,159,No,Yes,0.61,0
23,225299,0.01,0,4251045842,25,Yes,Bachelor or equivalent,Male,Yes,Married,15,Yes,1,3,3,Technology Related Job,261,MA,419,19,No,No,0.82,0
53,86200,0,0,4251043061,26,Yes,Bachelor or equivalent,Female,Yes,Married,73,Yes,2,1,22,Non-technology Related Job,434,MN,116,34,No,No,0.28,0
69,84229,0.02,0.02,4251098247,27,Yes,Bachelor or equivalent,Female,No,Single,81,Yes,1,6,62,Technology Related Job,294,SC,119,144,No,No,0.49,0
31,195129,0,0.02,4251026170,28,Yes,Master or equivalent,Male,Yes,Married,18,No,2,4,81,Non-technology Related Job,466,SD,316,159,No,No,0.94,0
47,193158,0.02,0,4251011887,29,Yes,High School or below,Female,Yes,Single,26,Yes,0,1,21,Technology Related Job,327,DE,320,19,Yes,No,0.15,0
78,54058,0,0,4251017032,30,Yes,High School or below,Male,Yes,Single,84,Yes,2,7,39,Non-technology Related Job,499,GA,16,34,No,No,0.61,0
26,52087,0.02,0.02,4251029808,31,Yes,High School or below,Male,Yes,Married,91,Yes,0,5,80,Technology Related Job,359,NE,20,144,No,No,0.82,0
56,162988,0,0.02,4251040357,32,Yes,High School or below,Female,No,Married,29,No,1,2,98,Non-technology Related Job,32,NH,217,159,No,No,0.28,0
72,161017,0.02,0,4251093174,33,Yes,High School or below,Female,Yes,Married,37,Yes,0,0,39,Technology Related Job,392,VA,220,19,No,Yes,0.49,0
34,21917,0.01,0,4251076747,34,Yes,Bachelor or equivalent,Male,Yes,Married,95,Yes,1,5,57,Non-technology Related Job,64,WA,417,34,No,No,0.94,0
50,19946,0.03,0.02,4251068765,35,Yes,Bachelor or equivalent,Female,Yes,Single,102,Yes,0,3,98,Technology Related Job,424,IN,420,144,No,No,0.16,0
13,130846,0.01,0.02,4251081945,36,Yes,Bachelor or equivalent,Male,Yes,Single,40,No,1,0,16,Non-technology Related Job,97,KS,117,159,No,No,0.61,0
28,128875,0.03,0,4251070137,37,Yes,PhD or equivalent,Male,Yes,Married,47,Yes,3,6,57,Technology Related Job,457,NC,121,19,No,No,0.82,0
59,239776,0.01,0,4251075538,38,Yes,High School or below,Female,Yes,Single,105,Yes,1,3,75,Non-technology Related Job,129,OH,318,34,No,No,0.28,0
75,237805,0.03,0.02,4251098864,39,Yes,High School or below,Female,Yes,Married,113,No,3,1,16,Technology Related Job,489,AK,321,143,No,No,0.49,0
37,98705,0.01,0.02,4251076763,40,Yes,High School or below,Male,Yes,Married,51,Yes,0,6,34,Non-technology Related Job,162,AR,18,158,No,No,0.95,0
53,96734,0.03,0,4251067408,41,Yes,High School or below,Female,No,Single,58,Yes,3,4,75,Technology Related Job,22,MD,21,18,No,No,0.16,0
15,207635,0.02,0,4251074247,42,Yes,Bachelor or equivalent,Male,Yes,Single,116,Yes,0,2,93,Non-technology Related Job,194,MI,218,33,No,No,0.61,1
31,205664,0.04,0.02,4251021408,43,Yes,Bachelor or equivalent,Male,Yes,Single,4,No,2,7,33,Technology Related Job,54,RI,222,143,No,No,0.82,0
62,66564,0.02,0.02,4251086886,44,Yes,Bachelor or equivalent,Female,Yes,Single,62,Yes,0,5,52,Non-technology Related Job,227,SD,419,158,No,No,0.28,0
77,64593,0.04,0,4251086023,45,Yes,Master or equivalent,Male,Yes,Married,69,Yes,2,2,92,Technology Related Job,87,DE,422,18,No,No,0.49,0
40,175493,0.02,0,4251012570,46,Yes,PhD or equivalent,Female,No,Married,7,Yes,3,0,11,Non-technology Related Job,259,GA,119,33,No,Yes,0.95,0
56,173522,0.04,0.02,4251066935,47,Yes,High School or below,Female,No,Single,14,Yes,2,5,51,Technology Related Job,120,MT,122,143,No,No,0.16,0
18,34423,0.02,0.02,4251098797,48,Yes,High School or below,Male,Yes,Single,72,Yes,3,3,70,Non-technology Related Job,292,NV,319,158,No,No,0.61,0
34,32452,0.04,0,4251056800,49,Yes,High School or below,Male,Yes,Single,80,Yes,2,0,10,Technology Related Job,152,VT,323,18,No,No,0.83,0
64,143352,0.03,0,4251010715,50,Yes,High School or below,Female,Yes,Single,18,Yes,3,6,29,Non-technology Related Job,325,WA,20,33,No,No,0.28,0
67,198309,0.06,0,4251036375,51,Yes,Bachelor or equivalent,Female,No,Married,109,No,0,0,98,Non-technology Related Job,1,SC,119,68,No,No,0.81,0
14,196338,0,0.02,4251094710,52,Yes,Bachelor or equivalent,Female,No,Single,116,Yes,3,5,39,Technology Related Job,361,CO,122,178,No,No,0.02,0
45,57239,0.07,0.02,4251034334,53,Yes,Bachelor or equivalent,Male,Yes,Single,54,Yes,0,3,57,Non-technology Related Job,33,DE,319,193,No,No,0.48,0
61,55268,0.01,0.03,4251094629,54,Yes,Master or equivalent,Female,Yes,Married,61,Yes,2,1,97,Technology Related Job,393,MO,322,53,No,No,0.69,0
23,166168,0.07,0,4251096800,55,Yes,PhD or equivalent,Male,Yes,Single,119,Yes,0,6,16,Non-technology Related Job,66,NE,19,68,No,Yes,0.15,0
39,164197,0.01,0.01,4251021021,56,Yes,High School or below,Male,Yes,Married,7,Yes,2,4,56,Technology Related Job,426,UT,23,178,No,No,0.36,0
69,25098,0.07,0.02,4251009252,57,Yes,High School or below,Female,Yes,Married,65,Yes,3,1,75,Non-technology Related Job,98,VA,220,193,No,No,0.81,0
17,23127,0.01,0.03,4251079065,58,Yes,High School or below,Female,Yes,Single,72,No,2,7,15,Technology Related Job,459,ID,223,53,No,No,0.02,0
48,134027,0.07,0,4251047459,59,Yes,High School or below,Male,Yes,Single,10,Yes,3,4,34,Non-technology Related Job,131,IN,420,68,No,No,0.48,1
64,132056,0.01,0.01,4251063562,60,Yes,Bachelor or equivalent,Female,No,Single,18,Yes,2,2,74,Technology Related Job,491,NM,423,178,No,No,0.69,0
26,242956,0,0.02,4251013339,61,Yes,Bachelor or equivalent,Male,Yes,Single,75,Yes,3,7,93,Non-technology Related Job,164,NC,120,193,No,No,0.15,0
42,240985,0.02,0.03,4251043629,62,Yes,Master or equivalent,Male,Yes,Married,83,No,1,5,33,Technology Related Job,24,WY,124,53,No,No,0.36,0
72,101886,0,0,4251029008,63,Yes,Master or equivalent,Female,Yes,Married,21,Yes,2,2,52,Non-technology Related Job,196,AK,321,68,No,No,0.81,0
20,99915,0.02,0.01,4251074288,64,Yes,High School or below,Female,Yes,Single,28,Yes,1,0,92,Technology Related Job,56,LA,324,178,No,Yes,0.03,0
50,210815,0,0.02,4251034446,65,No,High School or below,Male,No,Married,86,Yes,2,6,11,Non-technology Related Job,229,MD,21,193,No,No,0.48,0
66,208844,0.02,0.03,4251087741,66,Yes,High School or below,Female,No,Single,94,Yes,1,3,51,Non-technology Related Job,89,OR,24,53,Yes,No,0.69,0
29,69744,0,0,4251013661,67,Yes,High School or below,Male,Yes,Single,32,Yes,2,1,70,Non-technology Related Job,261,RI,221,68,No,No,0.15,0
45,67773,0.02,0.01,4251053518,68,Yes,Bachelor or equivalent,Male,Yes,Married,39,Yes,0,6,10,Non-technology Related Job,121,CO,225,178,No,No,0.36,0
75,178674,0.01,0.02,4251039721,69,Yes,Bachelor or equivalent,Female,Yes,Married,97,Yes,2,4,29,Non-technology Related Job,294,DE,422,193,No,No,0.82,0
23,176703,0.03,0.03,4251076213,70,Yes,Master or equivalent,Female,Yes,Married,104,Yes,0,1,69,Non-technology Related Job,154,MS,425,53,No,No,0.03,0
53,37603,0.01,0,4251011034,71,Yes,Master or equivalent,Male,No,Married,42,Yes,1,7,87,Non-technology Related Job,326,MT,122,68,No,No,0.48,0
69,35632,0.03,0.01,4251031686,72,Yes,High School or below,Female,Yes,Single,50,Yes,0,4,28,Non-technology Related Job,186,TX,125,178,No,No,0.69,0
31,146533,0.01,0.02,4251009557,73,Yes,High School or below,Male,Yes,Single,108,No,1,2,46,Non-technology Related Job,359,VT,322,193,No,No,0.15,0
47,144562,0.03,0.03,4251012749,74,Yes,High School or below,Male,No,Married,115,Yes,0,7,87,Non-technology Related Job,219,ID,326,53,No,No,0.36,0
78,5462,0.01,0,4251074783,75,Yes,High School or below,Female,Yes,Married,53,Yes,1,5,5,Non-technology Related Job,391,IN,22,68,No,No,0.82,0
26,3491,0.03,0.01,4251074932,76,Yes,Bachelor or equivalent,Female,Yes,Married,61,Yes,3,2,46,Non-technology Related Job,252,NJ,26,178,No,No,0.03,0
56,114391,0.02,0.02,4251049339,77,Yes,Bachelor or equivalent,Male,Yes,Married,119,No,1,0,64,Non-technology Related Job,424,NY,223,193,No,Yes,0.48,0
72,112420,0.04,0.03,4251057900,78,Yes,Bachelor or equivalent,Female,Yes,Single,6,Yes,3,5,5,Non-technology Related Job,284,WI,226,53,No,No,0.7,0
34,223321,0.02,0,4251025197,79,Yes,Master or equivalent,Male,No,Single,64,Yes,0,3,23,Non-technology Related Job,457,AL,423,68,No,No,0.15,0
50,221350,0.04,0.01,4251082859,80,Yes,High School or below,Male,No,Married,71,Yes,3,0,64,Non-technology Related Job,317,LA,426,178,No,No,0.36,1
13,82250,0.02,0.02,4251067462,81,Yes,High School or below,Female,Yes,Single,9,No,0,6,82,Non-technology Related Job,489,MD,123,193,No,No,0.82,0
28,80279,0.04,0.03,4251060710,82,Yes,High School or below,Male,Yes,Married,17,Yes,2,4,23,Non-technology Related Job,349,OK,127,53,No,No,0.03,0
59,191179,0.02,0,4251062996,83,Yes,High School or below,Female,Yes,Married,75,Yes,0,1,41,Non-technology Related Job,22,PA,324,68,Yes,No,0.49,0
75,189208,0.04,0.01,4251020849,84,Yes,Bachelor or equivalent,Female,Yes,Single,82,No,2,7,81,Non-technology Related Job,382,CA,327,178,No,No,0.7,0
37,50109,0.03,0.02,4251014655,85,Yes,Bachelor or equivalent,Male,No,Single,20,Yes,3,4,0,Non-technology Related Job,54,CT,24,193,No,No,0.15,0
53,48138,0.05,0.03,4251072634,86,Yes,Bachelor or equivalent,Male,Yes,Single,28,Yes,2,2,40,Non-technology Related Job,414,MS,27,53,No,Yes,0.36,0
15,159038,0.03,0,4251026372,87,Yes,Bachelor or equivalent,Female,Yes,Single,85,Yes,3,7,59,Others,87,MT,224,68,No,No,0.82,0
31,157067,0.05,0.01,4251043171,88,Yes,PhD or equivalent,Male,Yes,Married,93,No,2,5,99,Non-technology Related Job,447,TX,228,178,No,No,0.03,0
62,17967,0.03,0.02,4251086105,89,Yes,High School or below,Female,Yes,Married,31,Yes,3,2,18,Others,119,UT,425,193,No,No,0.49,0
77,15996,0.05,0.03,4251026864,90,Yes,High School or below,Female,Yes,Single,38,Yes,1,0,58,Non-technology Related Job,479,HI,428,53,No,No,0.7,0
40,126897,0.03,0,4251051801,91,Yes,High School or below,Male,Yes,Married,96,Yes,3,5,77,Others,152,IL,125,68,No,No,0.15,0
56,124926,0.05,0.01,4251026937,92,Yes,High School or below,Male,Yes,Single,104,No,1,3,17,Non-technology Related Job,12,NJ,128,178,No,No,0.36,0
18,235826,0.04,0.02,4251073888,93,Yes,Bachelor or equivalent,Female,No,Single,42,Yes,2,1,36,Others,184,NY,325,193,No,No,0.82,0
34,233855,0.06,0.03,4251058173,94,Yes,Bachelor or equivalent,Male,No,Married,49,Yes,1,6,76,Non-technology Related Job,45,WI,329,53,No,No,0.03,0
64,94756,0.04,0,4251010073,95,Yes,Bachelor or equivalent,Female,Yes,Married,107,Yes,2,4,95,Others,217,WY,26,68,No,No,0.49,0
12,92785,0.06,0.01,4251077583,96,Yes,Master or equivalent,Female,Yes,Married,114,Yes,1,1,35,Non-technology Related Job,77,KY,29,178,No,No,0.7,0
43,203685,0.04,0.02,4251050340,97,Yes,PhD or equivalent,Male,Yes,Married,52,Yes,2,7,54,Others,250,ME,226,193,No,No,0.16,0
59,201714,0.06,0.03,4251051083,98,Yes,High School or below,Male,Yes,Single,60,Yes,0,4,94,Non-technology Related Job,110,OK,229,53,No,No,0.37,0
21,62614,0.04,0,4251080552,99,Yes,High School or below,Female,No,Single,118,Yes,2,2,12,Others,282,PA,426,68,No,Yes,0.82,0
37,60643,0.06,0.01,4251018301,100,Yes,High School or below,Male,Yes,Married,5,Yes,0,7,53,Non-technology Related Job,142,CA,429,178,No,No,0.03,0
67,171544,0.05,0.02,4251088742,101,Yes,High School or below,Female,Yes,Single,63,Yes,1,5,71,Others,315,CO,126,193,No,No,0.49,0
15,169573,0.07,0.03,4251008183,102,Yes,Bachelor or equivalent,Female,Yes,Married,71,Yes,0,2,12,Non-technology Related Job,175,MN,130,53,No,No,0.7,1
45,30473,0.05,0,4251069005,103,Yes,Bachelor or equivalent,Male,Yes,Married,9,No,1,0,30,Others,347,MO,327,68,No,No,0.16,0
61,28502,0.07,0.01,4251035719,104,Yes,Master or equivalent,Male,Yes,Single,16,Yes,3,5,71,Non-technology Related Job,207,TN,330,178,No,No,0.37,0
24,139402,0.05,0.02,4251051604,105,Yes,Master or equivalent,Female,Yes,Single,74,Yes,1,3,89,Others,380,UT,27,193,No,No,0.82,1
40,137431,0.07,0.03,4251045446,106,Yes,High School or below,Male,Yes,Single,81,Yes,3,0,30,Non-technology Related Job,240,HI,30,53,No,No,0.03,1
70,248332,0.05,0,4251051081,107,Yes,High School or below,Female,Yes,Single,19,No,0,6,48,Others,412,ID,227,68,No,No,0.49,0
18,246361,0.07,0.01,4251061764,108,Yes,High School or below,Female,No,Married,27,Yes,3,3,89,Non-technology Related Job,272,NH,231,178,Yes,Yes,0.7,0
48,107261,0.06,0.02,4251078847,109,Yes,High School or below,Male,Yes,Married,85,Yes,0,1,7,Others,445,NM,428,193,No,No,0.16,0
64,105290,0,0.03,4251011750,110,Yes,Bachelor or equivalent,Female,Yes,Single,92,Yes,3,6,48,Non-technology Related Job,305,WV,431,53,No,No,0.37,0
27,216191,0.06,0.03,4251019052,111,No,Bachelor or equivalent,Female,Yes,Married,30,No,0,4,66,Others,477,WY,128,68,No,No,0.82,0
42,214219,0,0.01,4251045293,112,Yes,Master or equivalent,Male,Yes,Single,38,Yes,2,2,6,Non-technology Related Job,338,KY,131,178,No,No,0.04,0
73,75120,0.06,0.01,4251090358,113,Yes,Master or equivalent,Female,No,Single,95,Yes,0,7,25,Others,10,LA,328,193,No,No,0.49,0
21,73149,0,0.03,4251027387,114,Yes,High School or below,Female,Yes,Married,103,No,2,5,65,Non-technology Related Job,370,OH,332,53,No,No,0.7,1
51,184049,0.06,0.03,4251023465,115,Yes,High School or below,Male,Yes,Married,41,Yes,3,2,84,Others,43,OR,29,68,No,No,0.16,1
67,182078,0.01,0.01,4251015876,116,Yes,High School or below,Female,Yes,Married,48,Yes,2,0,24,Non-technology Related Job,403,AR,32,178,No,No,0.37,0
29,42979,0.07,0.01,4251091456,117,Yes,High School or below,Male,Yes,Married,106,Yes,3,5,43,Others,75,CO,229,193,No,No,0.83,0
45,41008,0.01,0.03,4251094781,118,Yes,Bachelor or equivalent,Male,Yes,Single,114,No,2,3,83,Non-technology Related Job,435,MN,232,53,No,No,0.04,0
76,151908,0.07,0.03,4251029646,119,Yes,Bachelor or equivalent,Female,Yes,Single,52,Yes,3,0,2,Others,108,MS,429,68,No,No,0.49,0
23,149937,0.01,0.01,4251030583,120,Yes,Bachelor or equivalent,Female,Yes,Married,59,Yes,1,6,42,Non-technology Related Job,468,SD,433,178,No,No,0.7,0
54,10837,0.07,0.01,4251098000,121,Yes,Master or equivalent,Male,Yes,Single,117,Yes,3,3,61,Others,140,TX,130,193,No,Yes,0.16,0
70,8866,0.01,0.03,4251052178,122,Yes,High School or below,Female,No,Married,5,Yes,1,1,1,Non-technology Related Job,0,GA,133,53,No,No,0.37,0
32,119767,0.07,0.03,4251021487,123,Yes,High School or below,Male,Yes,Married,62,Yes,2,7,20,Others,173,ID,330,68,No,No,0.83,0
48,117796,0.02,0.01,4251059121,124,Yes,High School or below,Male,Yes,Single,70,Yes,1,4,60,Non-technology Related Job,33,NH,333,178,No,No,0.04,0
78,228696,0,0.01,4251063031,125,Yes,High School or below,Female,Yes,Single,8,Yes,2,2,79,Others,205,NJ,30,193,No,No,0.49,0
26,226725,0.02,0.03,4251035491,126,Yes,High School or below,Female,Yes,Single,15,Yes,0,7,19,Non-technology Related Job,66,WA,33,53,No,No,0.71,0
57,87625,0,0.03,4251095066,127,Yes,Bachelor or equivalent,Male,No,Single,73,Yes,2,5,37,Others,238,WI,230,68,No,No,0.16,0
73,85654,0.02,0.01,4251051194,128,Yes,Bachelor or equivalent,Female,No,Married,81,Yes,0,2,78,Non-technology Related Job,98,KS,234,178,No,No,0.37,0
35,196555,0,0.01,4251050215,129,Yes,Bachelor or equivalent,Male,Yes,Married,19,No,1,0,96,Others,270,LA,431,193,No,No,0.83,0
51,194584,0.02,0.03,4251089059,130,Yes,PhD or equivalent,Male,Yes,Single,26,Yes,0,5,37,Non-technology Related Job,131,OH,434,53,Yes,Yes,0.04,0
13,55484,0,0.03,4251044929,131,Yes,High School or below,Female,Yes,Single,84,Yes,1,3,55,Others,303,OK,131,68,No,No,0.5,0
29,53513,0.03,0.01,4251083354,132,Yes,High School or below,Female,Yes,Single,91,Yes,0,0,96,Non-technology Related Job,163,AZ,134,178,No,No,0.71,0
59,164414,0.01,0.01,4251016810,133,Yes,High School or below,Male,Yes,Single,29,No,1,6,14,Others,336,CA,331,193,No,No,0.16,0
75,162443,0.03,0.03,4251067333,134,Yes,High School or below,Female,Yes,Married,37,Yes,3,3,55,Non-technology Related Job,196,MI,335,52,No,No,0.37,0
38,23343,0.01,0.03,4251019191,135,Yes,High School or below,Male,Yes,Married,95,Yes,1,1,73,Others,368,MS,32,67,No,No,0.83,0
54,21372,0.03,0.01,4251099689,136,Yes,Bachelor or equivalent,Male,No,Single,102,Yes,3,6,14,Non-technology Related Job,228,SD,35,177,No,No,0.04,0
16,132272,0.01,0.01,4251048496,137,Yes,Bachelor or equivalent,Female,Yes,Married,40,No,0,4,32,Others,401,TX,232,192,No,No,0.5,0
32,130301,0.03,0.03,4251014631,138,Yes,Master or equivalent,Female,Yes,Single,48,Yes,3,1,73,Non-technology Related Job,261,FL,235,52,No,No,0.71,0
62,241202,0.02,0.03,4251040866,139,Yes,PhD or equivalent,Male,Yes,Single,106,Yes,0,7,91,Others,433,HI,432,67,No,No,0.16,0
78,239231,0.04,0.01,4251021188,140,Yes,High School or below,Female,Yes,Married,113,No,3,5,32,Non-technology Related Job,293,NV,436,177,No,No,0.37,0
40,100131,0.02,0.01,4251047614,141,Yes,High School or below,Male,No,Married,51,Yes,0,2,50,Others,466,NJ,133,192,No,No,0.83,0
56,98160,0.04,0.03,4251034787,142,Yes,High School or below,Male,No,Married,58,Yes,2,0,90,Non-technology Related Job,326,WA,136,52,No,No,0.04,0
19,209060,0.02,0.03,4251068165,143,Yes,High School or below,Female,Yes,Married,116,Yes,3,5,9,Others,498,WI,333,67,No,Yes,0.5,0
35,207089,0.04,0.01,4251031769,144,Yes,Bachelor or equivalent,Male,Yes,Single,4,No,2,3,49,Non-technology Related Job,359,IA,336,177,No,No,0.71,0
65,67990,0.02,0.01,4251052161,145,Yes,Bachelor or equivalent,Female,Yes,Single,62,Yes,3,0,68,Others,31,KY,33,192,No,No,0.17,0
13,66019,0.04,0.03,4251057202,146,Yes,Master or equivalent,Female,Yes,Married,69,Yes,2,6,8,Non-technology Related Job,391,ND,37,52,No,No,0.38,1
43,176919,0.03,0.03,4251068698,147,Yes,Master or equivalent,Male,No,Single,7,Yes,3,3,27,Others,63,OK,233,67,Yes,No,0.83,0
59,174948,0.05,0.01,4251049035,148,Yes,High School or below,Male,Yes,Married,15,No,1,1,67,Non-technology Related Job,424,AZ,237,177,No,No,0.04,0
22,35849,0.03,0.01,4251090660,149,Yes,High School or below,Female,Yes,Married,72,Yes,3,6,86,Others,96,CA,434,192,No,No,0.5,0
37,33877,0.05,0.03,4251097440,150,Yes,High School or below,Male,No,Single,80,Yes,1,4,26,Non-technology Related Job,456,MA,437,52,No,No,0.71,0
68,144778,0.03,0.03,4251097187,151,Yes,High School or below,Female,Yes,Single,18,Yes,2,2,45,Others,129,MN,134,67,No,No,0.17,0
16,142807,0.05,0.01,4251009903,152,Yes,Bachelor or equivalent,Female,Yes,Single,25,Yes,1,7,85,Others,489,SC,137,177,No,Yes,0.38,1
46,3707,0.03,0.01,4251068636,153,Yes,Bachelor or equivalent,Male,Yes,Single,83,Yes,2,5,4,Others,161,TN,334,192,No,No,0.83,0
62,1736,0.05,0.03,4251059732,154,Yes,Master or equivalent,Male,Yes,Married,91,Yes,1,2,44,Others,21,FL,338,52,No,No,0.04,0
24,112637,0.04,0.03,4251036590,155,Yes,Master or equivalent,Female,No,Married,29,Yes,2,0,63,Others,194,HI,35,67,No,No,0.5,0
40,110666,0.06,0.01,4251078179,156,Yes,High School or below,Male,No,Single,36,Yes,0,5,3,Others,54,NE,38,177,No,No,0.71,0
71,221566,0.04,0.01,4251080675,157,No,High School or below,Female,Yes,Married,94,Yes,2,3,21,Others,226,NH,235,192,No,No,0.17,0
18,219595,0.06,0.03,4251060413,158,Yes,High School or below,Female,Yes,Single,101,Yes,0,0,62,Others,86,VA,238,52,No,No,0.38,0
49,80495,0.04,0.03,4251027119,159,Yes,High School or below,Male,Yes,Single,39,No,1,6,80,Others,259,WV,435,67,No,No,0.83,0
65,78524,0.06,0.01,4251067555,160,Yes,Bachelor or equivalent,Male,Yes,Married,47,Yes,0,3,21,Others,119,IA,439,177,No,No,0.05,0
27,189425,0.04,0.01,4251020599,161,Yes,Bachelor or equivalent,Female,No,Married,105,Yes,1,1,39,Others,291,KY,136,192,No,No,0.5,0
43,187454,0.06,0.03,4251026136,162,Yes,Bachelor or equivalent,Male,Yes,Married,112,Yes,0,6,80,Others,152,NC,139,52,No,No,0.71,0
73,48354,0.05,0.03,4251029984,163,Yes,Master or equivalent,Female,Yes,Married,50,No,1,4,98,Others,324,OH,336,67,No,No,0.17,0
21,46383,0.07,0.01,4251068991,164,Yes,PhD or equivalent,Female,Yes,Single,58,Yes,3,1,39,Others,184,AK,339,177,No,No,0.38,0
52,157283,0.05,0.01,4251044655,165,Yes,High School or below,Male,Yes,Single,116,Yes,0,7,57,Others,356,AR,36,192,No,Yes,0.84,0
68,155312,0.07,0.03,4251078387,166,Yes,High School or below,Male,Yes,Married,3,Yes,3,4,98,Others,217,MA,40,52,No,No,0.05,0
30,16213,0.05,0.03,4251023466,167,Yes,High School or below,Female,Yes,Single,61,No,0,2,16,Others,389,MN,237,67,No,No,0.5,0
46,14242,0.07,0.01,4251055981,168,Yes,High School or below,Male,Yes,Married,68,Yes,3,0,57,Others,249,SC,240,177,No,No,0.71,0
76,125142,0.05,0.01,4251096517,169,Yes,Bachelor or equivalent,Female,No,Married,6,Yes,0,5,75,Others,422,SD,437,192,No,No,0.17,0
24,123171,0.07,0.03,4251044889,170,Yes,Bachelor or equivalent,Female,No,Single,14,No,2,3,15,Others,282,DE,440,52,No,No,0.38,0
54,234072,0.06,0.03,4251039827,171,Yes,Bachelor or equivalent,Male,Yes,Single,72,Yes,0,0,34,Others,454,GA,137,67,No,No,0.84,0
70,232101,0,0.01,4251040220,172,Yes,Master or equivalent,Female,Yes,Single,79,Yes,2,6,74,Others,314,NE,140,177,Yes,No,0.05,0
